Data,Taxa Selic - a.a.,Taxa Cambio u.m.c./US$,CDS,Itau,Petrobras,Vale Rio Doce
2023-04-11,0.1375,5.0128,230.65,19.48,14.98,66.0
2023-04-12,0.1375,4.9496,224.8,19.61,15.09,64.59
2023-04-13,0.1375,4.9097,224.82,19.61,15.2,63.72
2023-04-14,0.1375,4.9455,215.06,19.89,15.35,63.16
2023-04-17,0.1375,4.9421,214.35,19.85,15.59,62.4
2023-04-18,0.1375,4.9678,214.32,19.84,15.99,62.94
2023-04-19,0.1375,5.0467,216.94,19.52,15.48,61.11
2023-04-20,0.1375,5.0497,221.97,19.58,15.58,59.83
2023-04-24,0.1375,5.0595,226.72,19.4,15.88,57.67
2023-04-25,0.1375,5.0613,225.45,19.58,15.82,56.1
2023-04-26,0.1375,5.0585,226.93,19.38,15.62,56.31
2023-04-27,0.1375,5.015,227.76,19.72,15.24,57.51
2023-04-28,0.1375,5.0007,224.79,19.82,15.59,58.02
2023-05-02,0.1375,5.0334,213.38,19.05,14.95,55.73
2023-05-03,0.1375,5.0227,217.34,19.02,14.9,55.3
2023-05-04,0.1375,5.0106,219.48,19.18,15.14,53.58
2023-05-05,0.1375,4.9696,225.55,19.89,15.78,55.33
2023-05-08,0.1375,4.9696,221.17,20.16,16.12,56.07
2023-05-09,0.1375,5.0007,222.01,20.29,16.17,56.65
2023-05-10,0.1375,4.9547,225.47,20.58,16.13,55.58
2023-05-11,0.1375,4.9696,222.06,20.78,16.72,54.5
2023-05-12,0.1375,4.9234,222.02,20.59,17.26,54.56
2023-05-15,0.1375,4.9103,221.99,20.67,16.87,55.34
2023-05-16,0.1375,4.9122,221.95,20.6,17.3,54.21
2023-05-17,0.1375,4.9513,221.91,20.81,16.87,56.0
2023-05-18,0.1375,4.9647,237.45,20.73,16.97,56.08
2023-05-19,0.1375,4.9858,218.45,20.56,16.95,55.46
2023-05-22,0.1375,4.968,215.15,20.17,16.85,54.57
2023-05-23,0.1375,4.9674,214.13,20.33,17.26,53.34
2023-05-24,0.1375,4.9474,213.02,20.22,17.53,52.13
2023-05-25,0.1375,4.999,213.13,20.85,17.39,51.97
2023-05-26,0.1375,5.0114,211.42,20.69,17.62,53.16
2023-05-29,0.1375,4.9954,207.39,20.6,17.55,52.76
2023-05-30,0.1375,5.0593,207.24,20.31,17.35,51.51
2023-05-31,0.1375,5.0959,206.96,20.15,17.18,51.14
2023-06-01,0.1375,5.035,209.05,20.44,17.73,52.22
2023-06-02,0.1375,4.9558,205.18,20.74,17.87,54.45
2023-06-05,0.1375,4.9236,201.82,20.79,18.07,54.0
2023-06-06,0.1375,4.9292,199.4,20.93,18.45,54.17
2023-06-07,0.1375,4.9119,196.58,21.0,18.99,55.03
2023-06-09,0.1375,4.8922,194.54,21.29,19.91,54.78
2023-06-12,0.1375,4.8832,192.9,21.06,20.26,53.79
2023-06-13,0.1375,4.8533,190.71,21.29,20.22,54.36
2023-06-14,0.1375,4.8462,188.12,21.59,21.09,55.31
2023-06-15,0.1375,4.8222,186.99,21.87,20.59,55.74
2023-06-16,0.1375,4.8286,182.84,21.94,20.77,55.83
2023-06-19,0.1375,4.7803,182.19,22.24,21.32,55.62
2023-06-20,0.1375,4.793,182.12,22.23,21.42,54.18
2023-06-21,0.1375,4.7795,180.03,22.44,22.32,53.64
2023-06-22,0.1375,4.775,177.19,22.23,22.04,53.35
2023-06-23,0.1375,4.7799,174.41,22.16,21.13,52.81
2023-06-26,0.1375,4.7698,176.63,22.13,21.61,52.92
2023-06-27,0.1375,4.7903,178.12,21.88,21.44,53.56
2023-06-28,0.1375,4.8563,177.36,21.75,21.64,51.87
2023-06-29,0.1375,4.8584,178.09,22.02,21.74,52.5
2023-06-30,0.1375,4.8192,179.92,21.96,20.69,51.47
2023-07-03,0.1375,4.7876,173.35,22.39,21.08,53.08
2023-07-04,0.1375,4.8056,174.39,22.26,21.13,52.81
2023-07-05,0.1375,4.8577,174.22,22.45,21.1,52.35
2023-07-06,0.1375,4.8977,176.78,22.12,20.78,51.97
2023-07-07,0.1375,4.8799,181.3,22.53,20.67,52.46
2023-07-10,0.1375,4.8735,180.11,22.39,20.71,51.66
2023-07-11,0.1375,4.8949,180.95,21.99,20.43,53.36
2023-07-12,0.1375,4.8058,181.14,21.86,20.44,53.73
2023-07-13,0.1375,4.8038,175.97,22.1,20.76,54.98
2023-07-14,0.1375,4.7957,172.11,21.87,20.36,54.98
2023-07-17,0.1375,4.8302,177.48,22.29,20.31,54.37
2023-07-18,0.1375,4.804,176.25,21.86,20.2,54.03
2023-07-19,0.1375,4.8,175.32,21.63,20.39,53.89
2023-07-20,0.1375,4.7888,173.34,22.03,20.41,54.01
2023-07-21,0.1375,4.7732,175.5,22.43,20.8,54.33
2023-07-24,0.1375,4.7457,172.41,22.07,21.23,55.98
2023-07-25,0.1375,4.7496,170.53,22.12,21.72,57.71
2023-07-26,0.1375,4.7368,169.51,22.24,21.72,57.51
2023-07-27,0.1375,4.7202,164.56,21.74,20.59,56.43
2023-07-28,0.1375,4.7253,162.85,22.07,20.85,54.2
2023-07-31,0.1375,4.7415,162.65,22.15,21.8,55.42
2023-08-01,0.1375,4.7752,163.69,22.21,21.44,54.65
2023-08-02,0.1375,4.8083,165.75,22.15,21.39,53.77
2023-08-03,0.1325,4.8797,172.48,21.97,21.67,54.1
2023-08-04,0.1325,4.8609,174.57,21.57,21.02,54.14
2023-08-07,0.1325,4.901,172.32,21.4,21.15,54.41
2023-08-08,0.1325,4.9217,171.54,21.36,21.18,54.06
2023-08-09,0.1325,4.9015,172.46,21.28,21.34,53.57
2023-08-10,0.1325,4.8518,173.55,21.35,21.46,52.94
2023-08-11,0.1325,4.8918,170.64,21.39,21.41,52.5
2023-08-14,0.1325,4.9481,170.72,21.08,21.47,51.1
2023-08-15,0.1325,4.9812,175.61,20.96,21.62,50.6
2023-08-16,0.1325,4.9772,180.46,20.95,22.1,50.4
2023-08-17,0.1325,4.9816,180.51,20.7,22.03,51.11
2023-08-18,0.1325,4.9724,186.29,20.86,22.09,50.54
2023-08-21,0.1325,4.9847,188.24,20.78,21.93,50.61
2023-08-22,0.1325,4.9431,188.45,21.1,22.27,51.66
2023-08-23,0.1325,4.8977,185.42,21.36,23.45,52.04
2023-08-24,0.1325,4.8748,176.37,21.12,23.42,51.35
2023-08-25,0.1325,4.8772,178.6,20.78,23.26,51.24
2023-08-28,0.1325,4.8938,173.67,21.49,23.52,51.98
2023-08-29,0.1325,4.8706,166.69,21.83,23.57,53.64
2023-08-30,0.1325,4.8653,163.62,21.41,23.73,53.65
2023-08-31,0.1325,4.9219,162.81,21.22,23.23,53.73
2023-09-01,0.1325,4.9318,167.67,21.41,23.74,56.87
2023-09-04,0.1325,4.9176,164.81,21.21,23.49,57.29
2023-09-05,0.1325,4.9705,164.81,20.9,24.27,57.05
2023-09-06,0.1325,4.9762,167.85,20.7,24.38,56.13
2023-09-08,0.1325,4.9835,170.57,20.73,24.3,55.07
2023-09-11,0.1325,4.9366,168.75,21.25,24.27,55.87
2023-09-12,0.1325,4.9505,169.7,21.38,24.39,55.82
2023-09-13,0.1325,4.9171,171.71,21.49,24.03,55.61
2023-09-14,0.1325,4.8751,168.68,21.4,24.64,57.89
2023-09-15,0.1325,4.8689,165.82,21.35,24.65,57.41
2023-09-18,0.1325,4.8535,165.82,21.3,24.83,56.73
2023-09-19,0.1325,4.8575,163.82,21.24,24.88,56.84
2023-09-20,0.1325,4.8487,179.98,21.6,24.94,57.22
2023-09-21,0.1275,4.9229,180.37,21.1,24.56,55.73
2023-09-22,0.1275,4.9131,183.28,21.05,24.75,56.14
2023-09-25,0.1275,4.9606,180.2,21.11,24.91,54.98
2023-09-26,0.1275,4.9717,182.3,20.8,24.34,54.12
2023-09-27,0.1275,5.0289,185.15,20.76,25.11,54.24
2023-09-28,0.1275,5.0475,189.21,21.31,25.06,55.07
2023-09-29,0.1275,5.0076,185.0,21.28,25.2,55.79
2023-10-02,0.1275,5.0679,186.07,21.08,24.82,55.3
2023-10-03,0.1275,5.11,190.24,20.81,24.71,54.97
2023-10-04,0.1275,5.1526,199.88,21.29,23.73,54.38
2023-10-05,0.1275,5.1713,194.64,21.63,23.81,54.4
2023-10-06,0.1275,5.1918,193.77,21.83,24.38,55.2
2023-10-09,0.1275,5.1666,190.1,21.64,25.42,54.8
2023-10-10,0.1275,5.0862,189.64,21.62,25.61,55.13
2023-10-11,0.1275,5.0496,180.92,21.89,25.55,55.61
2023-10-13,0.1275,5.0625,180.41,21.67,26.39,54.97
2023-10-16,0.1275,5.0618,183.11,21.7,26.68,55.56
2023-10-17,0.1275,5.0384,179.36,21.38,27.4,56.01
2023-10-18,0.1275,5.0568,181.48,20.93,28.02,53.96
2023-10-19,0.1275,5.054,185.23,21.17,27.89,53.18
2023-10-20,0.1275,5.0528,189.03,21.09,27.53,51.75
2023-10-23,0.1275,5.0164,190.82,21.12,25.71,51.65
2023-10-24,0.1275,5.0065,188.01,21.12,26.1,52.83
2023-10-25,0.1275,4.9981,184.22,21.16,26.24,52.78
2023-10-26,0.1275,5.0055,186.28,21.68,25.97,53.91
2023-10-27,0.1275,4.948,185.93,21.36,25.78,55.78
2023-10-30,0.1275,5.0074,186.08,21.19,25.52,56.29
2023-10-31,0.1275,5.0575,183.28,20.98,25.27,56.96
2023-11-01,0.1275,5.0194,182.29,21.28,25.55,58.05
2023-11-03,0.1225,4.891,165.65,21.87,25.85,58.78
2023-11-06,0.1225,4.8999,160.56,22.07,25.83,59.03
2023-11-07,0.1225,4.867,166.8,22.69,25.4,57.86
2023-11-08,0.1225,4.8855,165.64,22.79,24.86,57.9
2023-11-09,0.1225,4.9007,163.75,22.89,25.37,58.18
2023-11-10,0.1225,4.9219,166.87,23.17,25.26,59.07
2023-11-13,0.1225,4.9247,163.76,23.01,25.96,58.95
2023-11-14,0.1225,4.8682,165.71,23.36,26.32,60.77
2023-11-16,0.1225,4.8575,157.05,23.73,25.86,61.17
2023-11-17,0.1225,4.8849,154.82,23.84,26.7,61.29
2023-11-20,0.1225,4.8723,152.04,24.08,26.72,62.79
2023-11-21,0.1225,4.8806,147.12,24.04,26.45,64.31
2023-11-22,0.1225,4.8968,146.12,24.18,26.58,63.7
2023-11-23,0.1225,4.8931,147.18,24.15,26.59,63.3
2023-11-24,0.1225,4.8927,147.19,24.02,26.66,62.76
2023-11-27,0.1225,4.8951,147.21,23.96,26.51,62.39
2023-11-28,0.1225,4.8867,146.11,24.19,26.91,62.53
2023-11-29,0.1225,4.8933,145.08,24.36,26.63,62.51
2023-11-30,0.1225,4.9355,142.17,24.73,27.14,62.85
2023-12-01,0.1225,4.9191,146.24,24.68,26.96,64.01
2023-12-04,0.1225,4.9091,153.55,24.71,26.39,62.58
2023-12-05,0.1225,4.9522,142.32,24.91,26.27,62.0
2023-12-06,0.1225,4.9031,146.12,24.69,25.32,61.59
2023-12-07,0.1225,4.8949,149.13,24.97,25.26,61.79
2023-12-08,0.1225,4.9158,148.14,25.28,26.07,61.96
2023-12-11,0.1225,4.944,147.31,25.11,25.97,62.01
2023-12-12,0.1225,4.9476,145.21,24.98,25.76,62.12
2023-12-13,0.1225,4.958,145.2,25.74,26.13,62.13
2023-12-14,0.1175,4.8912,140.06,25.95,26.7,62.47
2023-12-15,0.1175,4.9397,136.32,25.84,26.76,62.86
2023-12-18,0.1175,4.9399,137.41,25.97,27.09,63.16
2023-12-19,0.1175,4.8663,136.4,25.98,27.4,63.6
2023-12-20,0.1175,4.8766,135.39,25.72,27.5,63.39
2023-12-21,0.1175,4.8755,135.35,25.89,27.51,65.5
2023-12-22,0.1175,4.8619,134.41,26.3,27.77,65.01
2023-12-26,0.1175,4.8368,132.45,26.57,28.22,65.24
2023-12-27,0.1175,4.8306,132.46,26.75,28.24,65.87
2023-12-28,0.1175,4.8413,132.4,26.82,28.15,65.7
2024-01-02,0.1175,4.8916,131.47,26.48,28.56,65.57
2024-01-03,0.1175,4.9212,139.43,26.19,29.45,65.23
2024-01-04,0.1175,4.9188,143.28,26.01,29.2,64.36
2024-01-05,0.1175,4.8899,142.37,26.62,29.27,63.53
2024-01-08,0.1175,4.885,141.34,26.34,29.05,63.21
2024-01-09,0.1175,4.8937,139.33,26.32,28.8,62.41
2024-01-10,0.1175,4.8901,137.38,26.3,28.54,61.47
2024-01-11,0.1175,4.8794,132.46,26.35,28.78,61.79
2024-01-12,0.1175,4.8543,131.4,26.38,28.85,61.01
2024-01-15,0.1175,4.8765,128.48,26.42,29.16,60.89
2024-01-16,0.1175,4.9038,128.56,26.05,28.8,60.1
2024-01-17,0.1175,4.9346,130.58,26.07,28.63,59.02
2024-01-18,0.1175,4.9403,132.59,25.96,28.52,58.72
2024-01-19,0.1175,4.9223,132.51,26.02,28.37,57.96
2024-01-22,0.1175,4.949,131.55,25.6,28.5,57.7
2024-01-23,0.1175,4.9715,135.43,25.71,28.85,58.89
2024-01-24,0.1175,4.9192,140.39,25.6,28.63,59.49
2024-01-25,0.1175,4.9232,140.41,25.54,29.69,58.02
2024-01-26,0.1175,4.9125,139.32,25.92,30.21,59.15
2024-01-29,0.1175,4.9225,137.46,25.78,30.67,58.87
2024-01-30,0.1175,4.9638,136.39,25.62,30.48,58.53
2024-01-31,0.1175,4.9535,136.49,25.9,30.81,57.67
2024-02-01,0.1125,4.935,139.3,25.84,31.42,57.4
2024-02-02,0.1125,4.9471,135.41,25.88,31.02,56.24
2024-02-05,0.1125,5.0053,135.62,26.37,31.15,55.75
2024-02-06,0.1125,4.9687,137.53,27.5,31.44,56.74
2024-02-07,0.1125,4.9608,135.39,27.3,31.9,56.85
2024-02-08,0.1125,4.9804,133.51,26.76,31.64,56.35
2024-02-09,0.1125,4.9717,135.49,27.1,31.22,56.1
2024-02-14,0.1125,4.9723,135.63,27.1,30.98,55.93
2024-02-15,0.1125,4.971,132.46,27.33,31.98,55.75
2024-02-16,0.1125,4.9761,131.53,27.3,32.27,57.87
2024-02-19,0.1125,4.9585,130.6,27.6,32.43,57.44
2024-02-20,0.1125,4.9408,130.57,28.2,32.09,56.18
2024-02-21,0.1125,4.9303,133.51,28.04,32.13,56.6
2024-02-22,0.1125,4.9419,132.58,27.88,31.89,57.21
2024-02-23,0.1125,4.9851,125.68,27.97,31.67,57.34
2024-02-26,0.1125,4.9819,122.68,28.05,32.27,55.96
2024-02-27,0.1125,4.9575,123.7,28.39,32.22,57.43
2024-02-28,0.1125,4.9557,126.66,28.41,30.56,56.8
2024-02-29,0.1125,4.9833,126.63,27.7,30.34,57.01
2024-03-01,0.1125,4.9596,124.66,27.83,30.37,56.92
2024-03-04,0.1125,4.9475,124.63,27.61,30.3,56.79
2024-03-05,0.1125,4.9488,124.71,27.59,30.21,56.04
2024-03-06,0.1125,4.9398,127.6,27.89,30.87,56.81
2024-03-07,0.1125,4.9364,128.63,27.6,30.53,56.61
2024-03-08,0.1125,4.9751,127.61,27.85,27.74,56.18
2024-03-11,0.1125,4.9777,129.6,27.99,26.95,54.43
2024-03-12,0.1125,4.9813,128.65,28.1,27.83,54.09
2024-03-13,0.1125,4.9803,124.72,28.38,27.5,54.44
2024-03-14,0.1125,4.9768,120.76,28.36,27.38,53.75
2024-03-15,0.1125,4.9937,123.75,28.21,27.45,53.13
2024-03-18,0.1125,5.0124,124.71,28.32,27.47,54.15
2024-03-19,0.1125,5.0352,124.7,28.36,27.27,54.59
2024-03-20,0.1125,5.012,124.67,28.42,27.74,54.96
2024-03-21,0.1075,4.9807,135.41,28.13,26.99,54.82
2024-03-22,0.1075,4.9897,131.53,27.73,27.25,54.19
2024-03-25,0.1075,4.9869,135.42,27.73,27.67,54.08
2024-03-26,0.1075,4.987,133.54,28.29,27.41,53.39
2024-03-27,0.1075,4.9856,133.48,28.44,27.63,53.88
2024-03-28,0.1075,4.9962,135.45,28.49,28.24,54.08
2024-04-01,0.1075,5.0532,138.42,27.52,28.46,54.43
2024-04-02,0.1075,5.0476,140.51,27.55,29.19,55.07
2024-04-03,0.1075,5.0724,143.36,27.35,29.04,54.28
2024-04-04,0.1075,5.0237,145.31,26.98,28.71,53.68
2024-04-05,0.1075,5.052,148.26,26.93,28.8,53.09
2024-04-08,0.1075,5.0421,147.4,27.34,29.2,55.99
2024-04-09,0.1075,5.008,144.38,27.63,29.28,55.61
2024-04-10,0.1075,5.0654,142.3,27.04,29.93,54.77
2024-04-11,0.1075,5.0765,146.58,26.99,29.71,55.0
2024-04-12,0.1075,5.1364,148.26,26.71,29.44,54.8
2024-04-15,0.1075,5.1746,153.11,26.26,29.72,55.12
2024-04-16,0.1075,5.2635,159.15,26.06,29.85,54.63
2024-04-17,0.1075,5.2469,162.11,26.08,30.07,55.22
2024-04-18,0.1075,5.2512,161.94,26.11,30.12,55.43
2024-04-19,0.1075,5.2269,163.1,25.96,30.64,56.33
2024-04-22,0.1075,5.2043,162.02,25.95,31.37,56.31
2024-04-23,0.1075,5.1626,157.09,26.33,31.31,55.82
2024-04-24,0.1075,5.1592,152.14,26.22,31.17,56.51
2024-04-25,0.1075,5.1679,151.24,26.07,31.91,55.32
2024-04-26,0.1075,5.1184,154.24,26.51,32.37,55.32
2024-04-29,0.1075,5.1155,150.21,26.3,32.75,56.81
2024-04-30,0.1075,5.1718,146.24,25.81,32.65,56.27
2024-05-02,0.1075,5.1184,144.23,26.18,32.78,56.83
2024-05-03,0.1075,5.0668,142.28,26.51,32.36,56.89
2024-05-06,0.1075,5.0727,137.36,26.68,32.58,57.06
2024-05-07,0.1075,5.061,135.48,27.23,32.98,57.42
2024-05-08,0.1075,5.0887,135.48,27.4,33.48,56.89
2024-05-09,0.105,5.1577,138.47,26.58,33.8,57.36
2024-05-10,0.105,5.1464,138.42,26.88,33.73,57.16
2024-05-13,0.105,5.1412,139.47,27.21,33.76,57.5
2024-05-14,0.105,5.1356,138.93,27.51,33.16,57.46
2024-05-15,0.105,5.1423,99.37,27.43,31.15,57.29
2024-05-16,0.105,5.127,141.29,27.35,30.24,57.71
2024-05-17,0.105,5.1157,140.48,27.36,29.76,58.84
2024-05-20,0.105,5.1085,139.47,27.28,29.81,58.81
2024-05-21,0.105,5.1037,140.45,27.14,29.76,58.65
2024-05-22,0.105,5.1502,140.4,26.72,30.16,58.18
2024-05-23,0.105,5.1443,144.41,26.48,29.86,57.84
2024-05-24,0.105,5.1508,148.38,26.22,29.7,57.86
2024-05-27,0.105,5.1704,146.34,26.13,30.02,58.06
2024-05-28,0.105,5.1538,146.34,25.99,30.66,56.8
2024-05-29,0.105,5.1972,146.4,25.81,30.62,56.23
2024-05-31,0.105,5.2416,197.94,25.55,31.47,56.19
2024-06-03,0.105,5.2373,143.35,25.91,31.3,55.01
2024-06-04,0.105,5.2687,141.83,26.0,30.95,54.45
2024-06-05,0.105,5.2841,144.8,25.95,30.99,53.68
2024-06-06,0.105,5.2681,143.35,26.28,31.14,54.42
2024-06-07,0.105,5.2802,144.37,25.91,29.97,53.71
2024-06-10,0.105,5.3666,146.53,25.7,30.42,54.3
2024-06-11,0.105,5.3524,146.37,25.99,30.55,54.22
2024-06-12,0.105,5.3891,149.25,25.95,29.89,53.47
2024-06-13,0.105,5.3974,200.49,25.68,29.59,54.08
2024-06-14,0.105,5.363,152.98,25.65,28.94,53.9
2024-06-17,0.105,5.413,158.11,26.28,29.04,53.68
2024-06-18,0.105,5.4074,159.23,26.26,29.95,53.93
2024-06-19,0.105,5.4647,158.04,26.47,29.98,54.1
2024-06-20,0.105,5.4254,158.15,26.29,30.45,54.59
2024-06-21,0.105,5.4416,162.1,26.47,30.61,54.08
2024-06-24,0.105,5.4,165.01,26.85,30.92,54.15
2024-06-25,0.105,5.429,161.07,26.94,30.9,53.92
2024-06-26,0.105,5.5097,160.11,26.89,30.95,54.59
2024-06-27,0.105,5.5229,164.14,26.94,31.46,54.73
2024-06-28,0.105,5.5589,166.94,26.91,31.75,55.32
2024-07-01,0.105,5.5893,169.97,26.79,32.23,56.14
2024-07-02,0.105,5.6677,169.03,27.13,32.13,55.95
2024-07-03,0.105,5.5863,168.84,27.3,31.57,57.06
2024-07-04,0.105,5.4839,161.94,27.34,31.14,56.78
